TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
San Antonio Spurs,677,1847,0.367,5,2014-15,2014-15,Golden State Warriors
Toronto Raptors,726,2060,0.352,11,2014-15,2014-15,Golden State Warriors
Utah Jazz,610,1781,0.343,18,2014-15,2014-15,Golden State Warriors
Washington Wizards,497,1381,0.36,12,2014-15,2014-15,Golden State Warriors
Atlanta Hawks,815,2326,0.35,7,2015-16,2015-16,Golden State Warriors
Boston Celtics,717,2142,0.335,7,2015-16,2015-16,Golden State Warriors
Brooklyn Nets,531,1508,0.352,28,2015-16,2015-16,Golden State Warriors
Charlotte Hornets,873,2410,0.362,7,2015-16,2015-16,Golden State Warriors
Chicago Bulls,651,1753,0.371,14,2015-16,2015-16,Golden State Warriors
Cleveland Cavaliers,880,2428,0.362,3,2015-16,2015-16,Golden State Warriors
Dallas Mavericks,806,2342,0.344,14,2015-16,2015-16,Golden State Warriors
Denver Nuggets,656,1943,0.338,21,2015-16,2015-16,Golden State Warriors
Detroit Pistons,740,2148,0.345,12,2015-16,2015-16,Golden State Warriors
Golden State Warriors,1077,2592,0.416,1,2015-16,2015-16,Golden State Warriors
Houston Rockets,878,2533,0.347,17,2015-16,2015-16,Golden State Warriors
Indiana Pacers,663,1889,0.351,11,2015-16,2015-16,Golden State Warriors
LA Clippers,797,2190,0.364,6,2015-16,2015-16,Golden State Warriors
Los Angeles Lakers,639,2016,0.317,29,2015-16,2015-16,Golden State Warriors
Memphis Grizzlies,504,1521,0.331,14,2015-16,2015-16,Golden State Warriors
Miami Heat,498,1480,0.336,7,2015-16,2015-16,Golden State Warriors
Milwaukee Bucks,440,1277,0.345,21,2015-16,2015-16,Golden State Warriors
Minnesota Timberwolves,455,1347,0.338,26,2015-16,2015-16,Golden State Warriors
New Orleans Pelicans,702,1951,0.36,25,2015-16,2015-16,Golden State Warriors
New York Knicks,610,1762,0.346,24,2015-16,2015-16,Golden State Warriors
Oklahoma City Thunder,678,1945,0.349,5,2015-16,2015-16,Golden State Warriors
Orlando Magic,636,1818,0.35,20,2015-16,2015-16,Golden State Warriors
Philadelphia 76ers,764,2255,0.339,30,2015-16,2015-16,Golden State Warriors
Phoenix Suns,738,2118,0.348,27,2015-16,2015-16,Golden State Warriors
Portland Trail Blazers,864,2336,0.37,12,2015-16,2015-16,Golden State Warriors
Sacramento Kings,660,1839,0.359,21,2015-16,2015-16,Golden State Warriors
San Antonio Spurs,570,1518,0.375,2,2015-16,2015-16,Golden State Warriors
Toronto Raptors,708,1915,0.37,4,2015-16,2015-16,Golden State Warriors
Utah Jazz,694,1956,0.355,19,2015-16,2015-16,Golden State Warriors
Washington Wizards,709,1983,0.358,17,2015-16,2015-16,Golden State Warriors
Atlanta Hawks,729,2137,0.341,11,2016-17,2016-17,Golden State Warriors
Boston Celtics,985,2741,0.359,4,2016-17,2016-17,Golden State Warriors
Brooklyn Nets,877,2591,0.338,30,2016-17,2016-17,Golden State Warriors
Charlotte Hornets,824,2347,0.351,20,2016-17,2016-17,Golden State Warriors
Chicago Bulls,623,1831,0.34,15,2016-17,2016-17,Golden State Warriors
Cleveland Cavaliers,1067,2779,0.384,5,2016-17,2016-17,Golden State Warriors
Dallas Mavericks,878,2473,0.355,22,2016-17,2016-17,Golden State Warriors
Denver Nuggets,870,2365,0.368,18,2016-17,2016-17,Golden State Warriors
Detroit Pistons,631,1915,0.33,19,2016-17,2016-17,Golden State Warriors
Golden State Warriors,982,2562,0.383,1,2016-17,2016-17,Golden State Warriors
Houston Rockets,1181,3306,0.357,3,2016-17,2016-17,Golden State Warriors
Indiana Pacers,709,1885,0.376,13,2016-17,2016-17,Golden State Warriors
LA Clippers,841,2245,0.375,5,2016-17,2016-17,Golden State Warriors
Los Angeles Lakers,730,2110,0.346,28,2016-17,2016-17,Golden State Warriors
Memphis Grizzlies,767,2169,0.354,11,2016-17,2016-17,Golden State Warriors
Miami Heat,808,2213,0.365,15,2016-17,2016-17,Golden State Warriors
Milwaukee Bucks,720,1946,0.37,13,2016-17,2016-17,Golden State Warriors
Minnesota Timberwolves,601,1723,0.349,24,2016-17,2016-17,Golden State Warriors
New Orleans Pelicans,768,2196,0.35,21,2016-17,2016-17,Golden State Warriors
New York Knicks,704,2022,0.348,24,2016-17,2016-17,Golden State Warriors
Oklahoma City Thunder,692,2116,0.327,10,2016-17,2016-17,Golden State Warriors
Orlando Magic,701,2139,0.328,26,2016-17,2016-17,Golden State Warriors
Philadelphia 76ers,831,2443,0.34,27,2016-17,2016-17,Golden State Warriors
Phoenix Suns,615,1854,0.332,29,2016-17,2016-17,Golden State Warriors
Portland Trail Blazers,852,2272,0.375,15,2016-17,2016-17,Golden State Warriors
Sacramento Kings,737,1960,0.376,23,2016-17,2016-17,Golden State Warriors
San Antonio Spurs,753,1927,0.391,2,2016-17,2016-17,Golden State Warriors
Toronto Raptors,725,1996,0.363,5,2016-17,2016-17,Golden State Warriors
Utah Jazz,791,2128,0.372,5,2016-17,2016-17,Golden State Warriors
Washington Wizards,756,2030,0.372,9,2016-17,2016-17,Golden State Warriors
Atlanta Hawks,917,2544,0.36,27,2017-18,2017-18,Golden State Warriors
Boston Celtics,939,2492,0.377,4,2017-18,2017-18,Golden State Warriors
Brooklyn Nets,1041,2924,0.356,23,2017-18,2017-18,Golden State Warriors
Charlotte Hornets,824,2233,0.369,20,2017-18,2017-18,Golden State Warriors
Chicago Bulls,906,2549,0.355,24,2017-18,2017-18,Golden State Warriors
Cleveland Cavaliers,981,2636,0.372,6,2017-18,2017-18,Golden State Warriors
Dallas Mavericks,967,2688,0.36,27,2017-18,2017-18,Golden State Warriors
Denver Nuggets,940,2536,0.371,14,2017-18,2017-18,Golden State Warriors
Detroit Pistons,886,2373,0.373,19,2017-18,2017-18,Golden State Warriors
Golden State Warriors,926,2369,0.391,3,2017-18,2017-18,Golden State Warriors
Houston Rockets,1256,3470,0.362,1,2017-18,2017-18,Golden State Warriors
Indiana Pacers,741,2010,0.369,8,2017-18,2017-18,Golden State Warriors
LA Clippers,777,2196,0.354,18,2017-18,2017-18,Golden State Warriors
Los Angeles Lakers,822,2384,0.345,21,2017-18,2017-18,Golden State Warriors
Memphis Grizzlies,758,2152,0.352,29,2017-18,2017-18,Golden State Warriors
Miami Heat,903,2506,0.36,15,2017-18,2017-18,Golden State Warriors
Milwaukee Bucks,718,2024,0.355,15,2017-18,2017-18,Golden State Warriors
Minnesota Timberwolves,658,1845,0.357,12,2017-18,2017-18,Golden State Warriors
New Orleans Pelicans,837,2312,0.362,8,2017-18,2017-18,Golden State Warriors
New York Knicks,673,1914,0.352,22,2017-18,2017-18,Golden State Warriors
Oklahoma City Thunder,881,2491,0.354,8,2017-18,2017-18,Golden State Warriors
Orlando Magic,844,2405,0.351,26,2017-18,2017-18,Golden State Warriors
Philadelphia 76ers,901,2445,0.369,5,2017-18,2017-18,Golden State Warriors
Phoenix Suns,763,2286,0.334,30,2017-18,2017-18,Golden State Warriors
Portland Trail Blazers,845,2308,0.366,7,2017-18,2017-18,Golden State Warriors
Sacramento Kings,738,1967,0.375,24,2017-18,2017-18,Golden State Warriors
San Antonio Spurs,696,1977,0.352,12,2017-18,2017-18,Golden State Warriors
Toronto Raptors,968,2705,0.358,2,2017-18,2017-18,Golden State Warriors
Utah Jazz,887,2425,0.366,8,2017-18,2017-18,Golden State Warriors
Washington Wizards,814,2173,0.375,17,2017-18,2017-18,Golden State Warriors
Atlanta Hawks,1067,3034,0.352,26,2018-19,2018-19,Golden State Warriors
Boston Celtics,1032,2829,0.365,9,2018-19,2018-19,Golden State Warriors
Brooklyn Nets,1047,2965,0.353,14,2018-19,2018-19,Golden State Warriors
Charlotte Hornets,977,2783,0.351,17,2018-19,2018-19,Golden State Warriors
Chicago Bulls,745,2123,0.351,27,2018-19,2018-19,Golden State Warriors
Cleveland Cavaliers,847,2388,0.355,28,2018-19,2018-19,Golden State Warriors
Dallas Mavericks,1022,3002,0.34,22,2018-19,2018-19,Golden State Warriors
Denver Nuggets,903,2571,0.351,4,2018-19,2018-19,Golden State Warriors
Detroit Pistons,993,2854,0.348,16,2018-19,2018-19,Golden State Warriors
Golden State Warriors,1087,2824,0.385,3,2018-19,2018-19,Golden State Warriors
Houston Rockets,1323,3721,0.356,5,2018-19,2018-19,Golden State Warriors
Indiana Pacers,779,2081,0.374,11,2018-19,2018-19,Golden State Warriors
LA Clippers,821,2118,0.388,11,2018-19,2018-19,Golden State Warriors
Los Angeles Lakers,847,2541,0.333,20,2018-19,2018-19,Golden State Warriors
Memphis Grizzlies,811,2368,0.342,22,2018-19,2018-19,Golden State Warriors
Miami Heat,928,2658,0.349,17,2018-19,2018-19,Golden State Warriors
Milwaukee Bucks,1105,3134,0.353,1,2018-19,2018-19,Golden State Warriors
Minnesota Timberwolves,827,2357,0.351,21,2018-19,2018-19,Golden State Warriors
New Orleans Pelicans,842,2449,0.344,22,2018-19,2018-19,Golden State Warriors
New York Knicks,823,2421,0.34,30,2018-19,2018-19,Golden State Warriors
Oklahoma City Thunder,932,2677,0.348,9,2018-19,2018-19,Golden State Warriors
Orlando Magic,937,2633,0.356,14,2018-19,2018-19,Golden State Warriors
Philadelphia 76ers,889,2474,0.359,7,2018-19,2018-19,Golden State Warriors
Phoenix Suns,790,2400,0.329,28,2018-19,2018-19,Golden State Warriors
Portland Trail Blazers,904,2520,0.359,5,2018-19,2018-19,Golden State Warriors
Sacramento Kings,927,2455,0.378,17,2018-19,2018-19,Golden State Warriors
San Antonio Spurs,812,2071,0.392,11,2018-19,2018-19,Golden State Warriors
Toronto Raptors,1015,2771,0.366,2,2018-19,2018-19,Golden State Warriors
Utah Jazz,993,2789,0.356,8,2018-19,2018-19,Golden State Warriors
Washington Wizards,930,2731,0.341,25,2018-19,2018-19,Golden State Warriors
Atlanta Hawks,805,2416,0.333,26,2019-20,2019-20,Los Angeles Lakers
Boston Celtics,905,2487,0.364,5,2019-20,2019-20,Los Angeles Lakers
Brooklyn Nets,941,2746,0.343,14,2019-20,2019-20,Los Angeles Lakers
Charlotte Hornets,785,2231,0.352,23,2019-20,2019-20,Los Angeles Lakers
Chicago Bulls,793,2282,0.348,24,2019-20,2019-20,Los Angeles Lakers
Cleveland Cavaliers,727,2070,0.351,28,2019-20,2019-20,Los Angeles Lakers
Dallas Mavericks,1136,3095,0.367,12,2019-20,2019-20,Los Angeles Lakers
Denver Nuggets,801,2234,0.359,6,2019-20,2019-20,Los Angeles Lakers
Detroit Pistons,791,2157,0.367,26,2019-20,2019-20,Los Angeles Lakers
Golden State Warriors,678,2032,0.334,30,2019-20,2019-20,Los Angeles Lakers
Houston Rockets,1126,3261,0.345,8,2019-20,2019-20,Los Angeles Lakers
Indiana Pacers,743,2046,0.363,7,2019-20,2019-20,Los Angeles Lakers
LA Clippers,895,2410,0.371,4,2019-20,2019-20,Los Angeles Lakers
Los Angeles Lakers,782,2242,0.349,3,2019-20,2019-20,Los Angeles Lakers
Memphis Grizzlies,798,2297,0.347,16,2019-20,2019-20,Los Angeles Lakers
Miami Heat,979,2584,0.379,8,2019-20,2019-20,Los Angeles Lakers
Milwaukee Bucks,1007,2840,0.355,1,2019-20,2019-20,Los Angeles Lakers
Minnesota Timberwolves,853,2540,0.336,28,2019-20,2019-20,Los Angeles Lakers
New Orleans Pelicans,982,2656,0.37,21,2019-20,2019-20,Los Angeles Lakers
New York Knicks,631,1872,0.337,25,2019-20,2019-20,Los Angeles Lakers
Oklahoma City Thunder,770,2171,0.355,8,2019-20,2019-20,Los Angeles Lakers
Orlando Magic,807,2354,0.343,18,2019-20,2019-20,Los Angeles Lakers
Philadelphia 76ers,848,2307,0.368,12,2019-20,2019-20,Los Angeles Lakers
Phoenix Suns,831,2320,0.358,16,2019-20,2019-20,Los Angeles Lakers
Portland Trail Blazers,952,2525,0.377,14,2019-20,2019-20,Los Angeles Lakers
Sacramento Kings,914,2511,0.364,20,2019-20,2019-20,Los Angeles Lakers
San Antonio Spurs,760,2021,0.376,19,2019-20,2019-20,Los Angeles Lakers
Toronto Raptors,995,2663,0.374,2,2019-20,2019-20,Los Angeles Lakers
Utah Jazz,963,2537,0.38,8,2019-20,2019-20,Los Angeles Lakers
Washington Wizards,864,2345,0.368,22,2019-20,2019-20,Los Angeles Lakers
Atlanta Hawks,895,2402,0.373,11,2020-21,2020-21,Phoenix Suns
Boston Celtics,979,2618,0.374,16,2020-21,2020-21,Phoenix Suns
Brooklyn Nets,1020,2600,0.392,4,2020-21,2020-21,Phoenix Suns
Charlotte Hornets,985,2666,0.369,19,2020-21,2020-21,Phoenix Suns
Chicago Bulls,904,2446,0.37,21,2020-21,2020-21,Phoenix Suns
Cleveland Cavaliers,720,2141,0.336,26,2020-21,2020-21,Phoenix Suns
Dallas Mavericks,994,2744,0.362,8,2020-21,2020-21,Phoenix Suns
Denver Nuggets,927,2462,0.377,5,2020-21,2020-21,Phoenix Suns
Detroit Pistons,832,2370,0.351,29,2020-21,2020-21,Phoenix Suns
Golden State Warriors,1048,2789,0.376,14,2020-21,2020-21,Phoenix Suns
Houston Rockets,992,2923,0.339,30,2020-21,2020-21,Phoenix Suns
Indiana Pacers,889,2445,0.364,17,2020-21,2020-21,Phoenix Suns
LA Clippers,1027,2498,0.411,5,2020-21,2020-21,Phoenix Suns
Los Angeles Lakers,796,2248,0.354,8,2020-21,2020-21,Phoenix Suns
Memphis Grizzlies,803,2258,0.356,15,2020-21,2020-21,Phoenix Suns
Miami Heat,932,2606,0.358,13,2020-21,2020-21,Phoenix Suns
Milwaukee Bucks,1038,2669,0.389,7,2020-21,2020-21,Phoenix Suns
Minnesota Timberwolves,944,2706,0.349,25,2020-21,2020-21,Phoenix Suns
New Orleans Pelicans,762,2190,0.348,21,2020-21,2020-21,Phoenix Suns
New York Knicks,847,2163,0.392,11,2020-21,2020-21,Phoenix Suns
Oklahoma City Thunder,857,2529,0.339,26,2020-21,2020-21,Phoenix Suns
Orlando Magic,784,2288,0.343,28,2020-21,2020-21,Phoenix Suns
Philadelphia 76ers,811,2169,0.374,3,2020-21,2020-21,Phoenix Suns
Phoenix Suns,940,2490,0.378,2,2020-21,2020-21,Phoenix Suns
Portland Trail Blazers,1132,2939,0.385,8,2020-21,2020-21,Phoenix Suns
Sacramento Kings,874,2400,0.364,21,2020-21,2020-21,Phoenix Suns
San Antonio Spurs,716,2046,0.35,19,2020-21,2020-21,Phoenix Suns
Toronto Raptors,1041,2831,0.368,24,2020-21,2020-21,Phoenix Suns
Utah Jazz,1205,3098,0.389,1,2020-21,2020-21,Phoenix Suns
Washington Wizards,733,2088,0.351,17,2020-21,2020-21,Phoenix Suns
Atlanta Hawks,1056,2821,0.374,16,2021-22,2021-22,Golden State Warriors
Boston Celtics,1085,3044,0.356,6,2021-22,2021-22,Golden State Warriors
Brooklyn Nets,940,2602,0.361,14,2021-22,2021-22,Golden State Warriors
Charlotte Hornets,1143,3130,0.365,16,2021-22,2021-22,Golden State Warriors
Chicago Bulls,872,2364,0.369,12,2021-22,2021-22,Golden State Warriors
Cleveland Cavaliers,953,2686,0.355,14,2021-22,2021-22,Golden State Warriors
Dallas Mavericks,1073,3063,0.35,5,2021-22,2021-22,Golden State Warriors
Denver Nuggets,1039,2944,0.353,10,2021-22,2021-22,Golden State Warriors
Detroit Pistons,925,2838,0.326,28,2021-22,2021-22,Golden State Warriors
Golden State Warriors,1176,3231,0.364,3,2021-22,2021-22,Golden State Warriors
Houston Rockets,1105,3170,0.349,30,2021-22,2021-22,Golden State Warriors
Indiana Pacers,997,2899,0.344,26,2021-22,2021-22,Golden State Warriors
LA Clippers,1047,2802,0.374,18,2021-22,2021-22,Golden State Warriors
Los Angeles Lakers,982,2826,0.347,23,2021-22,2021-22,Golden State Warriors
Memphis Grizzlies,945,2679,0.353,2,2021-22,2021-22,Golden State Warriors
Miami Heat,1114,2936,0.379,3,2021-22,2021-22,Golden State Warriors
Milwaukee Bucks,1153,3151,0.366,6,2021-22,2021-22,Golden State Warriors
Minnesota Timberwolves,1211,3386,0.358,12,2021-22,2021-22,Golden State Warriors
New Orleans Pelicans,873,2629,0.332,20,2021-22,2021-22,Golden State Warriors
New York Knicks,1082,3029,0.357,19,2021-22,2021-22,Golden State Warriors
Oklahoma City Thunder,991,3066,0.323,27,2021-22,2021-22,Golden State Warriors
Orlando Magic,999,3022,0.331,29,2021-22,2021-22,Golden State Warriors
Philadelphia 76ers,950,2608,0.364,6,2021-22,2021-22,Golden State Warriors
Phoenix Suns,951,2616,0.364,1,2021-22,2021-22,Golden State Warriors
Portland Trail Blazers,1043,3017,0.346,25,2021-22,2021-22,Golden State Warriors
Sacramento Kings,937,2722,0.344,24,2021-22,2021-22,Golden State Warriors
San Antonio Spurs,925,2626,0.352,22,2021-22,2021-22,Golden State Warriors
Toronto Raptors,979,2808,0.349,10,2021-22,2021-22,Golden State Warriors
Utah Jazz,1192,3308,0.36,9,2021-22,2021-22,Golden State Warriors
Washington Wizards,860,2512,0.342,21,2021-22,2021-22,Golden State Warriors
Atlanta Hawks,882,2505,0.352,17,2022-23,2022-23,Denver Nuggets
Boston Celtics,1315,3492,0.377,2,2022-23,2022-23,Denver Nuggets
Brooklyn Nets,1048,2771,0.378,9,2022-23,2022-23,Denver Nuggets
Charlotte Hornets,881,2669,0.33,27,2022-23,2022-23,Denver Nuggets
Chicago Bulls,854,2367,0.361,19,2022-23,2022-23,Denver Nuggets
Cleveland Cavaliers,950,2589,0.367,5,2022-23,2022-23,Denver Nuggets
Dallas Mavericks,1246,3362,0.371,21,2022-23,2022-23,Denver Nuggets
Denver Nuggets,969,2559,0.379,4,2022-23,2022-23,Denver Nuggets
Detroit Pistons,934,2659,0.351,30,2022-23,2022-23,Denver Nuggets
Golden State Warriors,1363,3540,0.385,11,2022-23,2022-23,Denver Nuggets
Houston Rockets,856,2619,0.327,28,2022-23,2022-23,Denver Nuggets
Indiana Pacers,1112,3030,0.367,23,2022-23,2022-23,Denver Nuggets
LA Clippers,1041,2734,0.381,11,2022-23,2022-23,Denver Nuggets
Los Angeles Lakers,885,2558,0.346,14,2022-23,2022-23,Denver Nuggets
Memphis Grizzlies,985,2807,0.351,5,2022-23,2022-23,Denver Nuggets
Miami Heat,980,2852,0.344,11,2022-23,2022-23,Denver Nuggets
Milwaukee Bucks,1217,3306,0.368,1,2022-23,2022-23,Denver Nuggets
Minnesota Timberwolves,997,2731,0.365,15,2022-23,2022-23,Denver Nuggets
New Orleans Pelicans,899,2468,0.364,15,2022-23,2022-23,Denver Nuggets
New York Knicks,1037,2930,0.354,8,2022-23,2022-23,Denver Nuggets
Oklahoma City Thunder,995,2797,0.356,19,2022-23,2022-23,Denver Nuggets
Orlando Magic,883,2551,0.346,25,2022-23,2022-23,Denver Nuggets
Philadelphia 76ers,1035,2675,0.387,3,2022-23,2022-23,Denver Nuggets
Phoenix Suns,1001,2674,0.374,9,2022-23,2022-23,Denver Nuggets
Portland Trail Blazers,1056,2893,0.365,26,2022-23,2022-23,Denver Nuggets
Sacramento Kings,1128,3060,0.369,7,2022-23,2022-23,Denver Nuggets
San Antonio Spurs,911,2640,0.345,28,2022-23,2022-23,Denver Nuggets
Toronto Raptors,880,2626,0.335,17,2022-23,2022-23,Denver Nuggets
Utah Jazz,1094,3099,0.353,22,2022-23,2022-23,Denver Nuggets
Washington Wizards,925,2601,0.356,23,2022-23,2022-23,Denver Nuggets
Atlanta Hawks,1125,3092,0.364,21,2023-24,2023-24,Dallas Mavericks
Boston Celtics,1351,3482,0.388,1,2023-24,2023-24,Dallas Mavericks
Brooklyn Nets,1089,3010,0.362,22,2023-24,2023-24,Dallas Mavericks
Charlotte Hornets,989,2788,0.355,27,2023-24,2023-24,Dallas Mavericks
Chicago Bulls,941,2630,0.358,20,2023-24,2023-24,Dallas Mavericks
Cleveland Cavaliers,1108,3016,0.367,11,2023-24,2023-24,Dallas Mavericks
Dallas Mavericks,1197,3242,0.369,6,2023-24,2023-24,Dallas Mavericks
Denver Nuggets,958,2560,0.374,2,2023-24,2023-24,Dallas Mavericks
Detroit Pistons,906,2602,0.348,30,2023-24,2023-24,Dallas Mavericks
Golden State Warriors,1211,3191,0.38,16,2023-24,2023-24,Dallas Mavericks
Houston Rockets,1043,2964,0.352,19,2023-24,2023-24,Dallas Mavericks
Indiana Pacers,1082,2891,0.374,12,2023-24,2023-24,Dallas Mavericks
LA Clippers,1036,2719,0.381,5,2023-24,2023-24,Dallas Mavericks
Los Angeles Lakers,969,2572,0.377,12,2023-24,2023-24,Dallas Mavericks
Memphis Grizzlies,1071,3097,0.346,24,2023-24,2023-24,Dallas Mavericks
Miami Heat,1022,2765,0.37,16,2023-24,2023-24,Dallas Mavericks
Milwaukee Bucks,1163,3122,0.373,8,2023-24,2023-24,Dallas Mavericks
Minnesota Timberwolves,1037,2681,0.387,4,2023-24,2023-24,Dallas Mavericks
New Orleans Pelicans,1023,2673,0.383,8,2023-24,2023-24,Dallas Mavericks
New York Knicks,1083,2936,0.369,6,2023-24,2023-24,Dallas Mavericks
Oklahoma City Thunder,1090,2805,0.389,2,2023-24,2023-24,Dallas Mavericks
Orlando Magic,903,2568,0.352,12,2023-24,2023-24,Dallas Mavericks
Philadelphia 76ers,992,2733,0.363,12,2023-24,2023-24,Dallas Mavericks
Phoenix Suns,1020,2671,0.382,8,2023-24,2023-24,Dallas Mavericks
Portland Trail Blazers,939,2723,0.345,27,2023-24,2023-24,Dallas Mavericks
Sacramento Kings,1178,3219,0.366,16,2023-24,2023-24,Dallas Mavericks
San Antonio Spurs,1036,2983,0.347,26,2023-24,2023-24,Dallas Mavericks
Toronto Raptors,942,2712,0.347,25,2023-24,2023-24,Dallas Mavericks
Utah Jazz,1060,2993,0.354,23,2023-24,2023-24,Dallas Mavericks
Washington Wizards,1015,2915,0.348,29,2023-24,2023-24,Dallas Mavericks
