TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON
Cleveland Cavaliers,509,1489,0.342,29,2010-11
Dallas Mavericks,645,1768,0.365,4,2010-11
Denver Nuggets,662,1704,0.388,9,2010-11
Detroit Pistons,472,1256,0.376,24,2010-11
Golden State Warriors,685,1749,0.392,20,2010-11
Houston Rockets,677,1843,0.367,14,2010-11
Indiana Pacers,585,1653,0.354,19,2010-11
Los Angeles Clippers,513,1519,0.338,23,2010-11
Los Angeles Lakers,524,1487,0.352,4,2010-11
Memphis Grizzlies,309,926,0.334,11,2010-11
Miami Heat,547,1479,0.37,3,2010-11
Milwaukee Bucks,483,1414,0.342,21,2010-11
Minnesota Timberwolves,589,1565,0.376,30,2010-11
New Jersey Nets,459,1337,0.343,25,2010-11
New Orleans Hornets,444,1232,0.36,11,2010-11
New York Knicks,765,2081,0.368,15,2010-11
Oklahoma City Thunder,487,1403,0.347,7,2010-11
Orlando Magic,770,2103,0.366,8,2010-11
Philadelphia 76ers,443,1248,0.355,16,2010-11
Phoenix Suns,701,1857,0.377,17,2010-11
Portland Trail Blazers,518,1503,0.345,10,2010-11
Sacramento Kings,428,1277,0.335,25,2010-11
San Antonio Spurs,685,1727,0.397,2,2010-11
Toronto Raptors,345,1091,0.316,28,2010-11
Utah Jazz,435,1256,0.346,18,2010-11
Washington Wizards,392,1182,0.332,27,2010-11
Atlanta Hawks,492,1330,0.37,8,2011-12
Boston Celtics,363,988,0.367,10,2011-12
Charlotte Bobcats,263,892,0.295,30,2011-12
Chicago Bulls,419,1117,0.375,1,2011-12
Cleveland Cavaliers,440,1273,0.346,27,2011-12
Dallas Mavericks,497,1464,0.339,13,2011-12
Denver Nuggets,435,1311,0.332,11,2011-12
Detroit Pistons,317,916,0.346,22,2011-12
Golden State Warriors,524,1351,0.388,23,2011-12
Houston Rockets,478,1330,0.359,17,2011-12
Indiana Pacers,392,1064,0.368,5,2011-12
Los Angeles Clippers,514,1441,0.357,8,2011-12
Los Angeles Lakers,362,1112,0.326,6,2011-12
Memphis Grizzlies,277,849,0.326,6,2011-12
Miami Heat,370,1030,0.359,4,2011-12
Milwaukee Bucks,436,1265,0.345,19,2011-12
Minnesota Timberwolves,473,1423,0.332,21,2011-12
New Jersey Nets,507,1481,0.342,25,2011-12
New Orleans Hornets,259,777,0.333,27,2011-12
New York Knicks,517,1538,0.336,13,2011-12
Oklahoma City Thunder,472,1317,0.358,3,2011-12
Orlando Magic,670,1785,0.375,12,2011-12
Philadelphia 76ers,349,963,0.362,16,2011-12
Phoenix Suns,444,1295,0.343,18,2011-12
Portland Trail Blazers,478,1382,0.346,20,2011-12
Sacramento Kings,411,1301,0.316,25,2011-12
San Antonio Spurs,552,1405,0.393,1,2011-12
Toronto Raptors,365,1075,0.34,23,2011-12
Utah Jazz,273,845,0.323,13,2011-12
Washington Wizards,344,1075,0.32,29,2011-12
Atlanta Hawks,706,1901,0.371,14,2012-13
Boston Celtics,498,1390,0.358,16,2012-13
Brooklyn Nets,628,1760,0.357,8,2012-13
Charlotte Bobcats,469,1399,0.335,29,2012-13
Chicago Bulls,446,1265,0.353,11,2012-13
Cleveland Cavaliers,547,1581,0.346,28,2012-13
Dallas Mavericks,606,1628,0.372,16,2012-13
Denver Nuggets,521,1518,0.343,4,2012-13
Detroit Pistons,513,1440,0.356,23,2012-13
Golden State Warriors,658,1632,0.403,10,2012-13
Houston Rockets,867,2369,0.366,11,2012-13
Indiana Pacers,555,1599,0.347,8,2012-13
Los Angeles Clippers,627,1752,0.358,5,2012-13
Los Angeles Lakers,715,2015,0.355,11,2012-13
Memphis Grizzlies,382,1107,0.345,5,2012-13
Miami Heat,717,1809,0.396,1,2012-13
Milwaukee Bucks,601,1670,0.36,18,2012-13
Minnesota Timberwolves,450,1475,0.305,22,2012-13
New Orleans Hornets,535,1474,0.363,26,2012-13
New York Knicks,891,2371,0.376,7,2012-13
Oklahoma City Thunder,598,1588,0.377,2,2012-13
Orlando Magic,506,1537,0.329,30,2012-13
Philadelphia 76ers,518,1438,0.36,19,2012-13
Phoenix Suns,480,1455,0.33,27,2012-13
Portland Trail Blazers,673,1904,0.353,21,2012-13
Sacramento Kings,610,1681,0.363,25,2012-13
San Antonio Spurs,663,1764,0.376,3,2012-13
Toronto Raptors,571,1665,0.343,19,2012-13
Utah Jazz,507,1385,0.366,15,2012-13
Washington Wizards,545,1495,0.365,23,2012-13
Atlanta Hawks,768,2116,0.363,18,2013-14
Boston Celtics,575,1729,0.333,26,2013-14
Brooklyn Nets,709,1922,0.369,14,2013-14
Charlotte Bobcats,516,1471,0.351,16,2013-14
Chicago Bulls,508,1459,0.348,11,2013-14
Cleveland Cavaliers,584,1640,0.356,22,2013-14
Dallas Mavericks,721,1877,0.384,10,2013-14
Denver Nuggets,702,1959,0.358,20,2013-14
Detroit Pistons,507,1580,0.321,23,2013-14
Golden State Warriors,774,2037,0.38,8,2013-14
Houston Rockets,779,2179,0.358,5,2013-14
Indiana Pacers,550,1542,0.357,4,2013-14
Los Angeles Clippers,693,1966,0.352,3,2013-14
Los Angeles Lakers,774,2032,0.381,25,2013-14
Memphis Grizzlies,405,1147,0.353,9,2013-14
Miami Heat,665,1829,0.364,5,2013-14
Milwaukee Bucks,548,1553,0.353,30,2013-14
Minnesota Timberwolves,600,1757,0.341,17,2013-14
New Orleans Pelicans,486,1303,0.373,21,2013-14
New York Knicks,759,2038,0.372,19,2013-14
Oklahoma City Thunder,664,1839,0.361,2,2013-14
Orlando Magic,563,1596,0.353,28,2013-14
Philadelphia 76ers,577,1847,0.312,29,2013-14
Phoenix Suns,765,2055,0.372,11,2013-14
Portland Trail Blazers,770,2071,0.372,5,2013-14
Sacramento Kings,491,1475,0.333,24,2013-14
San Antonio Spurs,698,1757,0.397,1,2013-14
Toronto Raptors,713,1917,0.372,11,2013-14
Utah Jazz,543,1577,0.344,26,2013-14
Washington Wizards,647,1704,0.38,14,2013-14
Atlanta Hawks,818,2152,0.38,2,2014-15
Boston Celtics,660,2021,0.327,16,2014-15
Brooklyn Nets,541,1633,0.331,18,2014-15
Charlotte Hornets,498,1566,0.318,22,2014-15
Chicago Bulls,645,1825,0.353,9,2014-15
Cleveland Cavaliers,826,2253,0.367,7,2014-15
Dallas Mavericks,732,2082,0.352,9,2014-15
Denver Nuggets,660,2032,0.325,24,2014-15
Detroit Pistons,703,2043,0.344,23,2014-15
Golden State Warriors,883,2217,0.398,1,2014-15
Houston Rockets,933,2680,0.348,3,2014-15
Indiana Pacers,612,1740,0.352,18,2014-15
Los Angeles Clippers,827,2202,0.376,3,2014-15
Los Angeles Lakers,532,1546,0.344,27,2014-15
Memphis Grizzlies,423,1246,0.339,5,2014-15
Miami Heat,556,1659,0.335,21,2014-15
Milwaukee Bucks,545,1500,0.363,15,2014-15
Minnesota Timberwolves,406,1223,0.332,30,2014-15
New Orleans Pelicans,586,1583,0.37,13,2014-15
New York Knicks,560,1614,0.347,29,2014-15
Oklahoma City Thunder,632,1864,0.339,13,2014-15
Orlando Magic,554,1598,0.347,26,2014-15
Philadelphia 76ers,692,2160,0.32,28,2014-15
Phoenix Suns,698,2048,0.341,17,2014-15
Portland Trail Blazers,807,2231,0.362,8,2014-15
Sacramento Kings,461,1350,0.341,25,2014-15
San Antonio Spurs,677,1847,0.367,5,2014-15
Toronto Raptors,726,2060,0.352,11,2014-15
Utah Jazz,610,1781,0.343,18,2014-15
Washington Wizards,497,1381,0.36,12,2014-15
Atlanta Hawks,815,2326,0.35,7,2015-16
Boston Celtics,717,2142,0.335,7,2015-16
Brooklyn Nets,531,1508,0.352,28,2015-16
Charlotte Hornets,873,2410,0.362,7,2015-16
Chicago Bulls,651,1753,0.371,14,2015-16
Cleveland Cavaliers,880,2428,0.362,3,2015-16
Dallas Mavericks,806,2342,0.344,14,2015-16
Denver Nuggets,656,1943,0.338,21,2015-16
Detroit Pistons,740,2148,0.345,12,2015-16
Golden State Warriors,1077,2592,0.416,1,2015-16
Houston Rockets,878,2533,0.347,17,2015-16
Indiana Pacers,663,1889,0.351,11,2015-16
LA Clippers,797,2190,0.364,6,2015-16
Los Angeles Lakers,639,2016,0.317,29,2015-16
Memphis Grizzlies,504,1521,0.331,14,2015-16
Miami Heat,498,1480,0.336,7,2015-16
Milwaukee Bucks,440,1277,0.345,21,2015-16
Minnesota Timberwolves,455,1347,0.338,26,2015-16
New Orleans Pelicans,702,1951,0.36,25,2015-16
New York Knicks,610,1762,0.346,24,2015-16
Oklahoma City Thunder,678,1945,0.349,5,2015-16
Orlando Magic,636,1818,0.35,20,2015-16
Philadelphia 76ers,764,2255,0.339,30,2015-16
Phoenix Suns,738,2118,0.348,27,2015-16
Portland Trail Blazers,864,2336,0.37,12,2015-16
Sacramento Kings,660,1839,0.359,21,2015-16
San Antonio Spurs,570,1518,0.375,2,2015-16
Toronto Raptors,708,1915,0.37,4,2015-16
Utah Jazz,694,1956,0.355,19,2015-16
Washington Wizards,709,1983,0.358,17,2015-16
Atlanta Hawks,729,2137,0.341,11,2016-17
Boston Celtics,985,2741,0.359,4,2016-17
Brooklyn Nets,877,2591,0.338,30,2016-17
Charlotte Hornets,824,2347,0.351,20,2016-17
Chicago Bulls,623,1831,0.34,15,2016-17
Cleveland Cavaliers,1067,2779,0.384,5,2016-17
Dallas Mavericks,878,2473,0.355,22,2016-17
Denver Nuggets,870,2365,0.368,18,2016-17
Detroit Pistons,631,1915,0.33,19,2016-17
Golden State Warriors,982,2562,0.383,1,2016-17
Houston Rockets,1181,3306,0.357,3,2016-17
Indiana Pacers,709,1885,0.376,13,2016-17
LA Clippers,841,2245,0.375,5,2016-17
Los Angeles Lakers,730,2110,0.346,28,2016-17
Memphis Grizzlies,767,2169,0.354,11,2016-17
Miami Heat,808,2213,0.365,15,2016-17
Milwaukee Bucks,720,1946,0.37,13,2016-17
Minnesota Timberwolves,601,1723,0.349,24,2016-17
New Orleans Pelicans,768,2196,0.35,21,2016-17
New York Knicks,704,2022,0.348,24,2016-17
Oklahoma City Thunder,692,2116,0.327,10,2016-17
Orlando Magic,701,2139,0.328,26,2016-17
Philadelphia 76ers,831,2443,0.34,27,2016-17
Phoenix Suns,615,1854,0.332,29,2016-17
Portland Trail Blazers,852,2272,0.375,15,2016-17
Sacramento Kings,737,1960,0.376,23,2016-17
San Antonio Spurs,753,1927,0.391,2,2016-17
Toronto Raptors,725,1996,0.363,5,2016-17
Utah Jazz,791,2128,0.372,5,2016-17
Washington Wizards,756,2030,0.372,9,2016-17
Atlanta Hawks,917,2544,0.36,27,2017-18
Boston Celtics,939,2492,0.377,4,2017-18
Brooklyn Nets,1041,2924,0.356,23,2017-18
Charlotte Hornets,824,2233,0.369,20,2017-18
Chicago Bulls,906,2549,0.355,24,2017-18
Cleveland Cavaliers,981,2636,0.372,6,2017-18
Dallas Mavericks,967,2688,0.36,27,2017-18
Denver Nuggets,940,2536,0.371,14,2017-18
Detroit Pistons,886,2373,0.373,19,2017-18
Golden State Warriors,926,2369,0.391,3,2017-18
Houston Rockets,1256,3470,0.362,1,2017-18
Indiana Pacers,741,2010,0.369,8,2017-18
LA Clippers,777,2196,0.354,18,2017-18
Los Angeles Lakers,822,2384,0.345,21,2017-18
Memphis Grizzlies,758,2152,0.352,29,2017-18
Miami Heat,903,2506,0.36,15,2017-18
Milwaukee Bucks,718,2024,0.355,15,2017-18
Minnesota Timberwolves,658,1845,0.357,12,2017-18
New Orleans Pelicans,837,2312,0.362,8,2017-18
New York Knicks,673,1914,0.352,22,2017-18
Oklahoma City Thunder,881,2491,0.354,8,2017-18
Orlando Magic,844,2405,0.351,26,2017-18
Philadelphia 76ers,901,2445,0.369,5,2017-18
Phoenix Suns,763,2286,0.334,30,2017-18
Portland Trail Blazers,845,2308,0.366,7,2017-18
Sacramento Kings,738,1967,0.375,24,2017-18
San Antonio Spurs,696,1977,0.352,12,2017-18
Toronto Raptors,968,2705,0.358,2,2017-18
Utah Jazz,887,2425,0.366,8,2017-18
Washington Wizards,814,2173,0.375,17,2017-18
Atlanta Hawks,1067,3034,0.352,26,2018-19
Boston Celtics,1032,2829,0.365,9,2018-19
Brooklyn Nets,1047,2965,0.353,14,2018-19
Charlotte Hornets,977,2783,0.351,17,2018-19
Chicago Bulls,745,2123,0.351,27,2018-19
Cleveland Cavaliers,847,2388,0.355,28,2018-19
Dallas Mavericks,1022,3002,0.34,22,2018-19
Denver Nuggets,903,2571,0.351,4,2018-19
Detroit Pistons,993,2854,0.348,16,2018-19
Golden State Warriors,1087,2824,0.385,3,2018-19
Houston Rockets,1323,3721,0.356,5,2018-19
Indiana Pacers,779,2081,0.374,11,2018-19
LA Clippers,821,2118,0.388,11,2018-19
Los Angeles Lakers,847,2541,0.333,20,2018-19
Memphis Grizzlies,811,2368,0.342,22,2018-19
Miami Heat,928,2658,0.349,17,2018-19
Milwaukee Bucks,1105,3134,0.353,1,2018-19
Minnesota Timberwolves,827,2357,0.351,21,2018-19
New Orleans Pelicans,842,2449,0.344,22,2018-19
New York Knicks,823,2421,0.34,30,2018-19
Oklahoma City Thunder,932,2677,0.348,9,2018-19
Orlando Magic,937,2633,0.356,14,2018-19
Philadelphia 76ers,889,2474,0.359,7,2018-19
Phoenix Suns,790,2400,0.329,28,2018-19
Portland Trail Blazers,904,2520,0.359,5,2018-19
Sacramento Kings,927,2455,0.378,17,2018-19
San Antonio Spurs,812,2071,0.392,11,2018-19
Toronto Raptors,1015,2771,0.366,2,2018-19
Utah Jazz,993,2789,0.356,8,2018-19
Washington Wizards,930,2731,0.341,25,2018-19
Atlanta Hawks,805,2416,0.333,26,2019-20
Boston Celtics,905,2487,0.364,5,2019-20
Brooklyn Nets,941,2746,0.343,14,2019-20
Charlotte Hornets,785,2231,0.352,23,2019-20
Chicago Bulls,793,2282,0.348,24,2019-20
Cleveland Cavaliers,727,2070,0.351,28,2019-20
Dallas Mavericks,1136,3095,0.367,12,2019-20
Denver Nuggets,801,2234,0.359,6,2019-20
Detroit Pistons,791,2157,0.367,26,2019-20
Golden State Warriors,678,2032,0.334,30,2019-20
Houston Rockets,1126,3261,0.345,8,2019-20
Indiana Pacers,743,2046,0.363,7,2019-20
LA Clippers,895,2410,0.371,4,2019-20
Los Angeles Lakers,782,2242,0.349,3,2019-20
Memphis Grizzlies,798,2297,0.347,16,2019-20
Miami Heat,979,2584,0.379,8,2019-20
Milwaukee Bucks,1007,2840,0.355,1,2019-20
Minnesota Timberwolves,853,2540,0.336,28,2019-20
New Orleans Pelicans,982,2656,0.37,21,2019-20
New York Knicks,631,1872,0.337,25,2019-20
Oklahoma City Thunder,770,2171,0.355,8,2019-20
Orlando Magic,807,2354,0.343,18,2019-20
Philadelphia 76ers,848,2307,0.368,12,2019-20
Phoenix Suns,831,2320,0.358,16,2019-20
Portland Trail Blazers,952,2525,0.377,14,2019-20
Sacramento Kings,914,2511,0.364,20,2019-20
San Antonio Spurs,760,2021,0.376,19,2019-20
Toronto Raptors,995,2663,0.374,2,2019-20
Utah Jazz,963,2537,0.38,8,2019-20
Washington Wizards,864,2345,0.368,22,2019-20
Atlanta Hawks,895,2402,0.373,11,2020-21
Boston Celtics,979,2618,0.374,16,2020-21
Brooklyn Nets,1020,2600,0.392,4,2020-21
Charlotte Hornets,985,2666,0.369,19,2020-21
Chicago Bulls,904,2446,0.37,21,2020-21
Cleveland Cavaliers,720,2141,0.336,26,2020-21
Dallas Mavericks,994,2744,0.362,8,2020-21
Denver Nuggets,927,2462,0.377,5,2020-21
Detroit Pistons,832,2370,0.351,29,2020-21
Golden State Warriors,1048,2789,0.376,14,2020-21
Houston Rockets,992,2923,0.339,30,2020-21
Indiana Pacers,889,2445,0.364,17,2020-21
LA Clippers,1027,2498,0.411,5,2020-21
Los Angeles Lakers,796,2248,0.354,8,2020-21
Memphis Grizzlies,803,2258,0.356,15,2020-21
Miami Heat,932,2606,0.358,13,2020-21
Milwaukee Bucks,1038,2669,0.389,7,2020-21
Minnesota Timberwolves,944,2706,0.349,25,2020-21
New Orleans Pelicans,762,2190,0.348,21,2020-21
New York Knicks,847,2163,0.392,11,2020-21
Oklahoma City Thunder,857,2529,0.339,26,2020-21
Orlando Magic,784,2288,0.343,28,2020-21
Philadelphia 76ers,811,2169,0.374,3,2020-21
Phoenix Suns,940,2490,0.378,2,2020-21
Portland Trail Blazers,1132,2939,0.385,8,2020-21
Sacramento Kings,874,2400,0.364,21,2020-21
San Antonio Spurs,716,2046,0.35,19,2020-21
Toronto Raptors,1041,2831,0.368,24,2020-21
Utah Jazz,1205,3098,0.389,1,2020-21
Washington Wizards,733,2088,0.351,17,2020-21
Atlanta Hawks,1056,2821,0.374,16,2021-22
Boston Celtics,1085,3044,0.356,6,2021-22
Brooklyn Nets,940,2602,0.361,14,2021-22
Charlotte Hornets,1143,3130,0.365,16,2021-22
Chicago Bulls,872,2364,0.369,12,2021-22
Cleveland Cavaliers,953,2686,0.355,14,2021-22
Dallas Mavericks,1073,3063,0.35,5,2021-22
Denver Nuggets,1039,2944,0.353,10,2021-22
Detroit Pistons,925,2838,0.326,28,2021-22
Golden State Warriors,1176,3231,0.364,3,2021-22
Houston Rockets,1105,3170,0.349,30,2021-22
Indiana Pacers,997,2899,0.344,26,2021-22
LA Clippers,1047,2802,0.374,18,2021-22
Los Angeles Lakers,982,2826,0.347,23,2021-22
Memphis Grizzlies,945,2679,0.353,2,2021-22
Miami Heat,1114,2936,0.379,3,2021-22
Milwaukee Bucks,1153,3151,0.366,6,2021-22
Minnesota Timberwolves,1211,3386,0.358,12,2021-22
New Orleans Pelicans,873,2629,0.332,20,2021-22
New York Knicks,1082,3029,0.357,19,2021-22
Oklahoma City Thunder,991,3066,0.323,27,2021-22
Orlando Magic,999,3022,0.331,29,2021-22
Philadelphia 76ers,950,2608,0.364,6,2021-22
Phoenix Suns,951,2616,0.364,1,2021-22
Portland Trail Blazers,1043,3017,0.346,25,2021-22
Sacramento Kings,937,2722,0.344,24,2021-22
San Antonio Spurs,925,2626,0.352,22,2021-22
Toronto Raptors,979,2808,0.349,10,2021-22
Utah Jazz,1192,3308,0.36,9,2021-22
Washington Wizards,860,2512,0.342,21,2021-22
Atlanta Hawks,882,2505,0.352,17,2022-23
Boston Celtics,1315,3492,0.377,2,2022-23
Brooklyn Nets,1048,2771,0.378,9,2022-23
Charlotte Hornets,881,2669,0.33,27,2022-23
Chicago Bulls,854,2367,0.361,19,2022-23
Cleveland Cavaliers,950,2589,0.367,5,2022-23
Dallas Mavericks,1246,3362,0.371,21,2022-23
Denver Nuggets,969,2559,0.379,4,2022-23
Detroit Pistons,934,2659,0.351,30,2022-23
Golden State Warriors,1363,3540,0.385,11,2022-23
Houston Rockets,856,2619,0.327,28,2022-23
Indiana Pacers,1112,3030,0.367,23,2022-23
LA Clippers,1041,2734,0.381,11,2022-23
Los Angeles Lakers,885,2558,0.346,14,2022-23
Memphis Grizzlies,985,2807,0.351,5,2022-23
Miami Heat,980,2852,0.344,11,2022-23
Milwaukee Bucks,1217,3306,0.368,1,2022-23
Minnesota Timberwolves,997,2731,0.365,15,2022-23
New Orleans Pelicans,899,2468,0.364,15,2022-23
New York Knicks,1037,2930,0.354,8,2022-23
Oklahoma City Thunder,995,2797,0.356,19,2022-23
Orlando Magic,883,2551,0.346,25,2022-23
Philadelphia 76ers,1035,2675,0.387,3,2022-23
Phoenix Suns,1001,2674,0.374,9,2022-23
Portland Trail Blazers,1056,2893,0.365,26,2022-23
Sacramento Kings,1128,3060,0.369,7,2022-23
San Antonio Spurs,911,2640,0.345,28,2022-23
Toronto Raptors,880,2626,0.335,17,2022-23
Utah Jazz,1094,3099,0.353,22,2022-23
Washington Wizards,925,2601,0.356,23,2022-23
Atlanta Hawks,1125,3092,0.364,21,2023-24
Boston Celtics,1351,3482,0.388,1,2023-24
Brooklyn Nets,1089,3010,0.362,22,2023-24
Charlotte Hornets,989,2788,0.355,27,2023-24
Chicago Bulls,941,2630,0.358,20,2023-24
Cleveland Cavaliers,1108,3016,0.367,11,2023-24
Dallas Mavericks,1197,3242,0.369,6,2023-24
Denver Nuggets,958,2560,0.374,2,2023-24
Detroit Pistons,906,2602,0.348,30,2023-24
Golden State Warriors,1211,3191,0.38,16,2023-24
Houston Rockets,1043,2964,0.352,19,2023-24
Indiana Pacers,1082,2891,0.374,12,2023-24
LA Clippers,1036,2719,0.381,5,2023-24
Los Angeles Lakers,969,2572,0.377,12,2023-24
Memphis Grizzlies,1071,3097,0.346,24,2023-24
Miami Heat,1022,2765,0.37,16,2023-24
Milwaukee Bucks,1163,3122,0.373,8,2023-24
Minnesota Timberwolves,1037,2681,0.387,4,2023-24
New Orleans Pelicans,1023,2673,0.383,8,2023-24
New York Knicks,1083,2936,0.369,6,2023-24
Oklahoma City Thunder,1090,2805,0.389,2,2023-24
Orlando Magic,903,2568,0.352,12,2023-24
Philadelphia 76ers,992,2733,0.363,12,2023-24
Phoenix Suns,1020,2671,0.382,8,2023-24
Portland Trail Blazers,939,2723,0.345,27,2023-24
Sacramento Kings,1178,3219,0.366,16,2023-24
San Antonio Spurs,1036,2983,0.347,26,2023-24
Toronto Raptors,942,2712,0.347,25,2023-24
Utah Jazz,1060,2993,0.354,23,2023-24
Washington Wizards,1015,2915,0.348,29,2023-24
